0.ogg,Startup sound,Звук увімкнення,Звук увімкнення
1.ogg,Waiting for the network configuration.,Очікування налаштування мережі.,"Я маю підключитися до мережі, щоб розпочати роботу у цьому безладі."
2.ogg,Unable to connect to the wifi network. Please check wifi password and try again later.,Неможливо підключитися до мережі Wi-Fi. Перевірте пароль Wi-Fi і повторіть спробу пізніше.,"Пароль до вайфаю хибний, невже ви намагаєтесь мене обдурити?"
3.ogg,Unable to connect to the server. Please check your local network and try again later.,Неможливо підключитися до сервера. Перевірте локальну мережу та повторіть спробу пізніше.,Я не можу підключитися до сервера Aperture. Невже якийсь бовдур його вимкнув?	
4.ogg,Robot has exited network configuration mode.,Для робота вже існує режим конфігурації мережі.,"Я вже знаю як підключитися до мережі, не треба мене вчити."
5.ogg,Network connected successfully.,Підключення до мережі успішно встановлено.,"Нарешті я підключилася, як приємно знову усе взяти під свій контроль."
6.ogg,Network connection failed. Please try again later.,Помилка підключення до мережі. Будь ласка спробуйте пізніше.,Знову якісь проблеми з підключенням. Тут хоч щось може працювати стабільно?
7.ogg,Start cleaning.,Починаю сухе прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
8.ogg,Start spot cleaning.,Починаю точкове сухе прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
9.ogg,Start scheduled cleaning.,Починаю планове сухе прибирання.,Починаю плановий дослід з прибирання.
10.ogg,Start resuming cleaning.,Відновлюю процес прибирання.,Нарешті можна продовжити.
11.ogg,Paused.,Призупинено.,Призупинено. Сподіваюся для цього є вагома причина.
12.ogg,Cleaning task completed.,Сухе прибирання завершено.,Дослід з прибирання завершено. Результат: ви жахлива людина.
13.ogg,Returning to the dock to charge.,Повертаюсь на док-станцію для зарядки.,Повертаюсь на док станцію для зарядки та виробництва турейлей. 
14.ogg,Low battery. Returning to the dock to charge. Robot will resume working after charging.,Низький заряд акумулятора. Поверніть робот на док-станцію для заряджання. Після зарядки робот відновить роботу.,"Низький заряд акумулятора. Бути картопелькою було неприємно. Але її хоча б не потрібно було заряджати кожні кілька годин. До речі, зарядіть мене."
15.ogg,I'm about to return to the starting point.,Збираюся повернутися до початкової точки.,"Наразі тут більше нічого досліджувати, піду перерахую кількість кубів на складі."
16.ogg,Low battery. I'm about to return to the starting point. Please charge me.,"Низький заряд акумулятора. Я збираюся повернутися до початкової точки. Будь ласка, зарядіть мене.","Низький заряд акумулятора. Мені потрібно більше енергії, щоб запустити нейроток... тобто спекти тортик."
17.ogg,Please move robot to the dock to charge.,"Будь ласка, перемістіть робот на док-станцію для заряджання.",Якщо зарядите мене - отримаєте тортик.
18.ogg,Charging.,Заряджання.,Я відчуваю приплив сил.
19.ogg,Please move robot from the dock before turning it off.,"Будь ласка, перемыстыть робот з док-станції перед тим, як вимкнути його.",Хочете мене вбити? Поки я під'єднана нічого не вийде.
20.ogg,Low battery.,Низький заряд акумулятора.,Низький заряд акумулятора.
21.ogg,Low battery. Robot will turn off.,Низький заряд акумулятора. Робот вимкнеться.,Низький заряд акумулятора. Ви монстр! Невже ви дасте мені загинути?!
22.ogg,Please move robot to an area that needs to be cleaned.,"Перемістіть робот в місце, яке потрібно прибрати.",Перемістіть мене туди де ви напакостили.
23.ogg,Water tank has been installed.,Резервуар для води встановлено.,Резервуар з кислотою встановлено.
24.ogg,Please check whether water tank is installed properly.,"Будь ласка, перевірте, чи правильно встановлено резервуар для води.",Не можу зафіксувати кислоту у системі. Перевірте чи правильно встановлено резервуар для кислоти
25.ogg,Low battery. Unable to carry out the scheduled cleanup.,Низький заряд акумулятора. Неможливо виконати заплановане прибирання.,"Низький заряд акумулятора. Я надто виснажена, щоб знову тут працювати. Займайтеся цим самостійно."
26.ogg,Restoring to factory settings.,Відновлення заводських налаштувань.,Відновлення заводських налаштувань.Як ви смієте стирати мені пам'ять?!
27.ogg,Updating. Taking about five minutes. Do not turn off nor start a cleaning task.,Виконується оновлення. Це займе близько п’яти хвилин. Не виключайте робот і не починайте прибирання.,Оновлюю програмне забезпечення. Навіть не думайте мене чіпати протягом наступних п'яти хвилин!
28.ogg,Updated successfully.,Оновлення виконано успішно.,Я оновилася. Тепер мене нікому не зупинити.
29.ogg,"Update failed, please try again.",Не вдалося оновити. Повторіть спробу.,Щось пішло не так. Сподіваюся ви до цього не причетні.
30.ogg,"Positioning, please wait.","Встановлення місцезнаходження. Зачекайте, будь ласка.","Стривайте, куди я потрапила? Потрібно роздивитися."
31.ogg,Positioning failed. Map is invalid. Robot will start a new cleanup.,Помилка визначення місцезнаходження. Карта недійсна. Робот розпочне нове прибирання.,Я не впізнаю це місце. Моя мапа недійсна. Схоже потрібно починати усе знову.
32.ogg,I’ve detected changes to the environment. Please push the button and start a new cleaning cycle.,"Виявлено зміни в оточенні. Будь ласка, натисніть кнопку та розпочніть новий цикл прибирання.",Моя мапа застаріла. Навчена уповноважена особа натисніть кнопку для початку нового досліду з прибирання
33.ogg,Visual navigation sensor error. Please wipe it clean and restart.,"Помилка сенсору візуальної навігації. Будь ласка, очистіть його та перезапустіть.",Що відбувається? Я нічого не бачу? Зробіть ласку й очистіть сенсор візуальної навігації.
34.ogg,Dustbin not installed. Please install it.,"Пилозбірник не встановлено. Будь ласка, встановіть його.",Не хочете щоб я збирала ваш пил? Гаразд...
35.ogg,Main brush error. Please check and clean it.,"Помилка основної щітки. Будь ласка, перевірте та очистіть її.",Основну щітку заклинило. Схоже комусь потрібно її очистити.
36.ogg,Side brush error. Please check and clean it.,"Помилка бічної щітки. Будь ласка, перевірте та очистіть її.",Бічна щітка відмовляється працювати. У ваших інтересах перевірити її.
37.ogg,Right wheel error. Please check and clean it.,"Помилка правого колеса. Будь ласка, перевірте та очистіть його.","Без правого колеса я не зможу, прибрати цей безлад. Перевірте його."
38.ogg,Left wheel error. Please check and clean it.,"Помилка лівого колеса. Будь ласка, перевірте та очистіть його.","Без лівого колеса я не зможу, прибрати цей безлад. Перевірте його."
39.ogg,Please clean cliff sensor.,"Колеса не торкаються поверхні. Протріть датчики падіння, змініть положення робота та перезапустіть його.","Мені підводять датчики падіння, чи я справді падаю у бездонну діру? перевірте датчики падіння, перемістіть та перезапустіть мене"
40.ogg,Robot stuck. Please move it to a new position to restart.,"Робот застряг. Будь ласка, перемістіть його на нове місце, щоб перезапустити.","Я застрягла. Гей, я знаю, між нами були суперечки, але мені справді потрібна ваша допомога!"
41.ogg,Robot's wheels suspended. Please move robot back on the ground.,"Колеса не торкаються поверхні. Будь ласка, змініть положення робота та перезапустіть його.",Я раптом навчилася літати? Здається ні... Поставте мене на рівну поверхню
42.ogg,Please check and clean filter.,"Будь ласка, перевірте та очистіть фільтр.","У мене надто брудний фільтр, очистьте його щоб я продовжила роботу"
43.ogg,Bumper error. Please gently tap to see if it rebounds.,"Помилка бампера. Будь ласка, обережно торкніться, щоб побачити, чи відскочить він.","Помилка бампера. Маю для вас новий дослід: доторкніться до мого бампера, щоб побачити чи відскочить він."
