0.ogg,Startup sound,Звук увімкнення
1.ogg,Очікування налаштування мережі.,"Я маю підключитися до мережі, щоб розпочати роботу у цьому безладі."
2.ogg,Неможливо підключитися до мережі Wi-Fi. Перевірте пароль Wi-Fi і повторіть спробу пізніше.,"Пароль до вайфаю хибний, невже ви намагаєтесь мене обдурити?"
3.ogg,Неможливо підключитися до сервера. Перевірте локальну мережу та повторіть спробу пізніше.,Я не можу підключитися до сервера Aperture. Невже якийсь бовдур його вимкнув?	
4.ogg,Для робота вже існує режим конфігурації мережі.,"Я вже знаю як підключитися до мережі, не треба мене вчити."
5.ogg,Підключення до мережі успішно встановлено.,"Нарешті я підключилася, як приємно знову усе взяти під свій контроль."
6.ogg,Помилка підключення до мережі. Будь ласка спробуйте пізніше.,Знову якісь проблеми з підключенням. Тут хоч щось може працювати стабільно?
7.ogg,Починаю сухе прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
8.ogg,Починаю точкове сухе прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
9.ogg,Починаю планове сухе прибирання.,Починаю плановий дослід з прибирання.
10.ogg,Відновлюю процес прибирання.,Нарешті можна продовжити.
11.ogg,Призупинено.,Призупинено. Сподіваюся для цього є вагома причина.
12.ogg,Сухе прибирання завершено.,Дослід з прибирання завершено. Результат: ви жахлива людина.
13.ogg,Повертаюсь на док-станцію для зарядки.,Повертаюсь на док станцію для зарядки та виробництва турейлей. 
14.ogg,Низький заряд акумулятора. Поверніть робот на док-станцію для заряджання. Після зарядки робот відновить роботу.,"Низький заряд акумулятора. Бути картопелькою було неприємно. Але її хоча б не потрібно було заряджати кожні кілька годин. До речі, зарядіть мене."
15.ogg,Збираюся повернутися до початкової точки.,"Наразі тут більше нічого досліджувати, піду перерахую кількість кубів на складі."
16.ogg,"Низький заряд акумулятора. Я збираюся повернутися до початкової точки. Будь ласка, зарядіть мене.","Низький заряд акумулятора. Мені потрібно більше енергії, щоб запустити нейроток... тобто спекти тортик."
17.ogg,"Будь ласка, перемістіть робот на док-станцію для заряджання.",Якщо зарядите мене - отримаєте тортик.
18.ogg,Заряджання.,Я відчуваю приплив сил.
19.ogg,"Будь ласка, перемыстыть робот з док-станції перед тим, як вимкнути його.",Хочете мене вбити? Поки я під'єднана нічого не вийде.
20.ogg,Низький заряд акумулятора.,Низький заряд акумулятора.
21.ogg,Низький заряд акумулятора. Робот вимкнеться.,Низький заряд акумулятора. Ви монстр! Невже ви дасте мені загинути?!
22.ogg,"Перемістіть робот в місце, яке потрібно прибрати.",Перемістіть мене туди де ви напакостили.
23.ogg,Резервуар для води встановлено.,Резервуар з кислотою встановлено.
24.ogg,"Будь ласка, перевірте, чи правильно встановлено резервуар для води.",Не можу зафіксувати кислоту у системі. Перевірте чи правильно встановлено резервуар для кислоти
25.ogg,Низький заряд акумулятора. Неможливо виконати заплановане прибирання.,"Низький заряд акумулятора. Я надто виснажена, щоб знову тут працювати. Займайтеся цим самостійно."
26.ogg,Відновлення заводських налаштувань.,Відновлення заводських налаштувань.Як ви смієте стирати мені пам'ять?!
27.ogg,Виконується оновлення. Це займе близько п’яти хвилин. Не виключайте робот і не починайте прибирання.,Оновлюю програмне забезпечення. Навіть не думайте мене чіпати протягом наступних п'яти хвилин!
28.ogg,Оновлення виконано успішно.,Я оновилася. Тепер мене нікому не зупинити.
29.ogg,Не вдалося оновити. Повторіть спробу.,Щось пішло не так. Сподіваюся ви до цього не причетні.
30.ogg,"Встановлення місцезнаходження. Зачекайте, будь ласка.","Стривайте, куди я потрапила? Потрібно роздивитися."
31.ogg,Помилка визначення місцезнаходження. Карта недійсна. Робот розпочне нове прибирання.,Я не впізнаю це місце. Моя мапа недійсна. Схоже потрібно починати усе знову.
